Account,trade_date,sentiment,daily_pnl,trades,win_rate,avg_leverage,avg_size_tokens
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Extreme Greed,0.0,5,0.0,8330.474,2.60054
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Extreme Greed,0.0,1,0.0,2433.6,10.4
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Extreme Greed,0.0,3,0.0,3534.226666666667,1.1168
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Extreme Greed,0.0,1,0.0,10145.14,43.45
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,Extreme Greed,-2285.253386,3,0.0,13146.913333333332,36.761266666666664
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Extreme Greed,0.0,2,0.0,5664.025,1.52135
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,-81.834726,2,0.0,282.46500000000003,0.0699
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Extreme Greed,-29.84474,12,0.0,31596.243333333332,96.17436666666667
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Extreme Greed,4960.159938,1,1.0,28859.22,123.33
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,3020.430585,28,0.2857142857142857,29877.563214285714,11.993542857142858
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,-187.3442279999997,18,0.1111111111111111,14205.971111111112,16.908633333333334
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,0.0,3,0.0,48245.77666666667,17.3279
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,405.206492,4,1.0,4060.98,1.5165250000000001
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,1421.692302,2,0.5,57501.215000000004,21.556150000000002
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,50005.76285,4,0.75,204424.4125,80.47902500000001
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,Extreme Fear,0.0,3,0.0,1812.51,0.7908666666666666
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,Fear,12003.397339,17,0.7647058823529411,6388.271764705882,18.80685294117647
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,Fear,79997.271889,4,1.0,43281.17999999999,27.565875
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,Extreme Greed,270.234905,1,1.0,2795.36,400.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,Greed,0.0,1,0.0,1386.55,107.61
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,Extreme Greed,0.0,1,0.0,1008.04,40.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,Extreme Greed,2.161726,1,1.0,70.04,347.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,Extreme Greed,6.452022,1,1.0,103.36,5.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,Extreme Greed,10.948903,4,1.0,873.9200000000001,39.7425
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,Greed,1.952585,3,0.3333333333333333,957.3233333333333,39.99333333333333
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,Neutral,3.5,1,1.0,2606.8,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,Neutral,24.294385,2,0.5,1153.63,52.615
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,Extreme Fear,0.0,1,0.0,81.4,4.96
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,Fear,63.232163,2,1.0,872.1999999999999,54.65
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,Fear,19.021414,1,1.0,1964.0,129.62
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,Fear,0.0,1,0.0,222.12,18.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,Fear,-0.085825,2,0.0,43.075,2.86
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,Fear,-4.342448,1,0.0,842.27,224.3
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,Fear,2.782248,4,0.5,565.6725,33.2525
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,Fear,2.540352,1,1.0,568.84,31.44
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,Fear,7.747866,5,0.6,293.862,16.304
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,Greed,9.07851,4,0.25,766.125,3.7015
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,Greed,-20.058984000000002,4,0.0,355.78499999999997,312.8
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,Greed,2.675694,4,0.25,716.635,1.9842499999999998
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,Greed,-4.554635,1,0.0,91.21,5.02
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,Fear,0.527472,1,1.0,2945.43,0.03564
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,Fear,0.0,1,0.0,4254.78,234.41
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,Fear,0.0,1,0.0,704.91,5.09
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,Fear,0.0,1,0.0,1707.9,0.508
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,Greed,0.0,1,0.0,833.17,0.009
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,Greed,17.144384,1,1.0,1815.85,12.16
